id_str,full_text,created_at,favourites_count,statuses_count,followers_count,retweeted,retweet_count,retweeted_text,location,hashtags,user_mentions,symbols,urls
1099726397768114176,RT @Supriya23bh: And it’s sealed !!! Congress-DMK alliance for 2019 polls sealed in Chennai today with 10 seats for Congress wh…,Sun Feb 24 17:42:59 +0000 2019,49,3205,70,False,238,And it’s sealed !!! Congress-DMK alliance for 2019 polls sealed in Chennai today with 10 seats for Congress wherein on Congress will contest on 9 seats in Tamil Nadu and 1 in Puducherry...,Far far away :D,1,1,0,0
1099702676596506624,RT @HKCongress: It is going to be a tough to face if we go against we need maximum support from lingayats to win more…,Sun Feb 24 16:08:44 +0000 2019,35258,45420,401,False,4,It is going to be a tough to face if we go against we need maximum support from lingayats to win more seats @dineshgrao is looking for his own status party status won't matter him remove him from kpcc president @RahulGandhi ji give chance to @eshwar_khandre,Bidar #Maharajwadi ,2,1,0,0
1099688679071612929,"RT @Supriya23bh: Congress’ Youth Wing @IYC launches two different campaigns to woo young rural, urban voters for 2019 polls https…",Sun Feb 24 15:13:06 +0000 2019,27456,27124,472,False,200,"Congress’ Youth Wing @IYC launches two different campaigns to woo young rural, urban voters for 2019 polls",New Delhi ,1,2,0,0
1099648245318541313,@UnSubtleDesi @mamtan14 It is very small reward by .. they even gave ticket to a plane hijacker,Sun Feb 24 12:32:26 +0000 2019,1069,3526,170,False,0,,New Delhi Gurgaon Lucknow,2,2,0,0
1099583506252845056,It is going to be a tough to face if we go against we need maximum support from lingayats to win more seats @dineshgrao is looking for his own status party status won't matter him remove him from kpcc president @RahulGandhi ji give chance to @eshwar_khandre,Sun Feb 24 08:15:11 +0000 2019,193,159,21,False,4,,Gulbarga India,2,3,0,0
1099573711546372097,": Dy CM reacts on seat sharing arrangement for polls, says senior Congress leaders will meet JD(S) leaders to decide on seat sharing. He adds that if required the High Command will be consulted to finalise the seat sharing.",Sun Feb 24 07:36:16 +0000 2019,50,52667,7976,False,0,,BENGALURU,3,0,0,0
1099553701897789441,AIADMK leaves Puducherry to N R Congress,Sun Feb 24 06:16:45 +0000 2019,62,56557,1157,False,0,,Unknown,6,0,0,1
1099541376260325376,RT @GajaMolkere: @RahulGandhi ji @kcvenugopalmp ji if u want lingayat votes in don't put ur hands in adding 4 wp for kpcc @eshwa…,Sun Feb 24 05:27:47 +0000 2019,4397,3222,1495,False,2,@RahulGandhi ji @kcvenugopalmp ji if u want lingayat votes in don't put ur hands in adding 4 wp for kpcc @eshwar_khandre is the most active n hard working wp instead of it replace @eshwar_khandre as a kpcc president n make @dineshgrao as wp @siddaramaiah @publictvnews,Bhalki India,1,3,0,0
1099521780773867520,@RahulGandhi ji @kcvenugopalmp ji if u want lingayat votes in don't put ur hands in adding 4 wp for kpcc @eshwar_khandre is the most active n hard working wp instead of it replace @eshwar_khandre as a kpcc president n make @dineshgrao as wp @siddaramaiah @publictvnews,Sun Feb 24 04:09:55 +0000 2019,4854,2155,222,False,2,,Bhalki India,1,7,0,0
1099468637151219713,"Predicting a massive victory for the UPA-led alliance in the upcoming elections, Puducherry Chief Minister V Narayanasamy said president would become the Prime Minister.",Sun Feb 24 00:38:44 +0000 2019,136,70444,3689,False,0,,Chennai India,4,0,0,1
